warehouse_name,warehouse_city,warehouse_address,warehouse_pincode,lat_long
Decathlon BLR,Kolar,"SCAR, Decathlon Sports India Pvt Ltd, Malur Logistics Park/Allcargo Logistics, Madanahatti Village, Hurulagere Post, Kasaba Hobli, Malur Taluk, Kolar Dist. Karnataka 563160",563160,"[12.9902374, 77.81010839999999]"
Trusource Technology Private Limited,Bangalore Rural,"Survey No. 111/3, 111/5, 111/1, 111/7, 111/2, Kasaba Hobli, Budihal, Bengaluru Rural, Karnataka",562123,"[13.165214, 77.4092323]"
Trusource Technology Private Limited,Bangalore Rural,"Survey No. 111/3, 111/5, 111/1, 111/7, 111/2, Kasaba Hobli, Budihal, Bengaluru Rural, Karnataka, 562123",562123,"[13.165214, 77.4092323]"
Elitty BLR,Bangalore,"ANALEMMA COMMERCE PRIVATE LIMITED #86, N V Gardens, Near VIBGYOR School, Jayanti Nagar Main Road, Horamavu",560043,"[13.0254158, 77.6677244]"
Anubhava BLR,Bangalore,"Survey No 78/10, A2, Bellary Rd, Chikkajala, Bengaluru, Karnataka 562157",562157,"[13.169204, 77.63322509999999]"
GIVA DEL,Gurgaon,"Yusen Logistics, Khasra No. 5/24, 25 – Khasra No. 9/4,5 6/1 Vill. Sampka Opp. Hanuman Ji Mandir Near Jamalpur Chowk, Pataudi
Gurugram Haryana IN 122503",122503,"[28.375874, 76.8304106]"
SNITCH WO,Bangalore,"No. 43/2, Anjaneya Swamy Temple Road, Sri Balaji Hemanna Layout, Kattigenahalli, Yelhanka, Bengaluru",560064,"[13.0062992, 77.6002575]"
"Glaucus Supply Chain Solutions Pvt  Ltd  85 2, Koraluru",Bangalore,"Glaucus Supply Chain Solutions Pvt  Ltd  85 2, Koraluru Koraluru Railway gate, Bangalore rural  D  Bangalore  560067",560067,"[12.9881316, 77.78208819999999]"
Snitch Apparels Pvt Ltd,Bangalore Rural,"C/o. Glaucus Supply Chain Solutions Pvt Ltd , No. 24/2, Khata No. 200, Chikkahullur Village, Bengaluru Rural Dist, Hoskote ",562114,"[12.9154515, 77.6344007]"
Emiza supply chain services Pvt Ltd survey no 83 2 Kachanahalli Beside Kirloskar Electric company Budhihall post Nelmangala,Bangalore Rural,Emiza supply chain services Pvt Ltd survey no 83 2 Kachanahalli Beside Kirloskar Electric company Budhihall post Nelmangala,562123,"[13.148997, 77.36587]"
Plum Bangalore,Bangalore Rural,"EMIZA SUPPLY CHAIN SERVICES PVT LTD. Resurvey No. 110/7, Nelmangala, Sompura Hobli, Billanakote, 562111",562111,"[13.2186437, 77.2728205]"
Asitis BLR2,Bangalore Rural,"16/1, Debanga Road, kasab hobli, budihal post Nelamangala, Bengaluru Rural",562123,"[13.165214, 77.4092323]"
"Katha no 461 100 7, Comprised of Converted Survey No 100 4, Reserve Survey No",Bangalore Rural,"Katha no 461 100 7, Comprised of Converted Survey No 100 4, Reserve Survey No 110 7 of Billankote village, Sompura Hobli, Nelmangala Talu",562111,"[13.097301, 77.38563979999999]"
Prozo Bangalore,Bangalore Rural,"Near Marie Gold Logistics,
SY NO. - 131/3, Anjaneya Garden IOC Road
Bengaluru, Karnataka 560067",560067,"[12.9093588, 77.57367649999999]"
ds_blr_mtl,Bangalore,"89/1, Outer Ring Rd, Behind @home, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037",560037,"[12.9496157, 77.6983095]"
ds_blr_mtl,Bangalore,"89/1, Outer Ring Rd, Behind @home, Marathahalli Village, Marathahalli",560037,"[12.9496157, 77.6983095]"
Neemans Private Limited,Bangalore Rural,"SY No. 37, 38, 39, 5, 4 Hobla PuraAnagondanahalli, Hoskote, Talluk
",560067,"[12.9556159, 77.8155015]"
TSS BLR,Bangalore Rural,"SY No. 37, 38, 39, 5, 4 Hobla Pura, Anagondanahalli, Hoskote,Talluk Bangalore ",560067,"[12.9556159, 77.8155015]"
BVO Bangalore,Bangalore Rural,"Glaucus Supply Chain Solutions Pvt. Ltd., 24/2, Chikkahullur Village , Kasba Hobli, Shidlagatta Road, Hosakote Taluk, Karnataka, Bangalore",562114,"[13.165214, 77.4092323]"
BNG - Bengaluru,Bangalore Rural,"KYA Apparel LLP Hopscotch.in Mahimapura village, Sy 32/2B Sompura, Hobli, NelamanglaTaluk, Bengaluru, Karnataka India ",562123,"[13.1727982, 77.2846924]"
"Survey No  15 Ground Floor, SY No  131 3, Hoskote, Anjaneya Garden IOC Road Near Marie Gold Logistics, Makanahalli Village,",Bangalore,"Survey No  15 Ground Floor, SY No  131 3, Hoskote, Anjaneya Garden IOC Road Near Marie Gold Logistics, Makanahalli Village,",560067,"[12.9715987, 77.5945627]"
GIVA Bangalore,Bangalore,"Sy No7 Hosahalli, 1st 2nd 3rd 4th 5th, Laxmi Complex, 4th Block Bangalore, further extension of banashankari 6th stage, Bengaluru, Karnataka, 560062, Raghuvanahalli,, 560062, Bangalore, Karnataka",560062,"[12.9330888, 77.53949490000001]"
