awb,lat,lng,city,pincode,cluster
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS1720461312,19.0605737,72.8504402,Mumbai,400051,16
GS1720461312,19.0605737,72.8504402,Mumbai,400051,16
GS1533076275,19.1178967,72.8488152,Mumbai,400069,9
GS1061198741,19.0188958,72.8422075,Mumbai,400028,40
GS1061198741,19.0188958,72.8422075,Mumbai,400028,40
GS1990590473,19.0795697,72.8877314,Mumbai,400070,10
GS1784729648,18.9567685,72.8181288,Mumbai,400004,8
GS1869570512,19.1188152,72.8832938,Mumbai,400059,9
GS1065465064,19.0169157,72.8339317,Mumbai,400028,40
GS1906444312,19.1998589,72.8718556,Mumbai,400101,17
BZPPL00961448,19.0256086,72.8717752,Mumbai,400037,1
GS1040437390,19.0061917,72.8526557,Mumbai,400037,40
GS1095347362,19.2094655,72.9877535,Mumbai,400601,7
GS1962624486,18.9589233,72.803561,Mumbai,400006,8
GS2057114077,19.18058205,72.83188629,Mumbai,400064,0
GS1344487876,19.1889463,72.951332,Mumbai,400604,7
GS1655691200,19.065761,72.8936384,Mumbai,400071,10
GS2091785843,19.0887539,72.8936384,Mumbai,400086,10
GS1232762058,19.063605,72.833092,Mumbai,400050,16
GS1674031679,19.082358,72.8405721,Mumbai,400072,16
GS1482989831,18.9674417,72.8378854,Mumbai,400002,40
GS1309129504,19.1891577,72.857371,Mumbai,400097,17
GS1600635876,18.9633182,72.8030323,Mumbai,400006,8
GS1554159706,19.2372346,72.8614622,Mumbai,400066,12
GS1641593410,19.0541503,72.8329289,Mumbai,400050,16
GS1639743059,19.0281433,72.8791014,Mumbai,400037,1
GS1740457973,19.1788143,72.8711354,Mumbai,400091,17
GS1893912269,19.0635757,72.8295182,Mumbai,400050,16
GS1893912269,19.0635757,72.8295182,Mumbai,400050,16
GS2036531328,19.1230432,72.8594866,Mumbai,400093,9
GS2036531328,19.1230432,72.8594866,Mumbai,400093,9
GS1720461312,19.0605737,72.8504402,Mumbai,400051,16
GS1720461312,19.0605737,72.8504402,Mumbai,400051,16
GS1825399055,19.1175993,72.9059747,Mumbai,400076,10
GS1941729449,18.9274375,72.8269375,Mumbai,400021,11
GS1319646066,19.1922915,72.8358833,Mumbai,400064,0
GS1594129318,19.1485872,72.8293272,Mumbai,400053,6
GS1011350375,19.0573211,72.8356236,Mumbai,400050,16
GS1917536027,19.1776709,72.9603245,Mumbai,400080,7
GS1866228074,19.0220246,72.872517,Mumbai,400037,40
GS1242364481,19.059846,72.8881006,Mumbai,400071,10
GS1277269228,19.0671665,72.8271021,Mumbai,400050,16
GS1277269228,19.0671665,72.8271021,Mumbai,400050,16
GS1522128011,19.0724159,72.8637558,Mumbai,400098,16
GS2002050580,19.2908734,73.0021941,Mumbai,400088,14
GS1846097837,19.2118779,72.9743201,Mumbai,400601,7
GS1784729648,18.9567685,72.8181288,Mumbai,400004,8
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS1998732961,19.1982832,72.9490508,Mumbai,400604,7
